base|avaliacao|c1|c2|res_in
MiniMayo|Physician|C0035078|C0035078|4.0
MiniMayo|Physician|C0018787|C0027061|3.3
MiniMayo|Physician|C0038454|C0021308|3.0
MiniMayo|Physician|C0156543|C0000786|3.0
MiniMayo|Physician|C0011253|C0036341|3.0
MiniMayo|Physician|C0018802|C0034063|3.0
MiniMayo|Physician|C0011991|C0344375|2.3
MiniMayo|Physician|C0026269|C0004238|2.3
MiniMayo|Physician|C0003873|C0409974|2.0
MiniMayo|Physician|C0006118|C0151699|2.0
MiniMayo|Physician|C0007286|C0029408|2.0
MiniMayo|Physician|C0011849|C0020538|2.0
MiniMayo|Physician|C0702166|C0039142|2.0
MiniMayo|Physician|C0003232|C0020517|1.7
MiniMayo|Physician|C0010137|C0086511|1.7
MiniMayo|Physician|C0034065|C0027051|1.7
MiniMayo|Physician|C0034069|C0242379|1.7
MiniMayo|Physician|C0206698|C0009378|1.3
MiniMayo|Physician|C0333997|C0007107|1.3
MiniMayo|Physician|C0026769|C0033975|1.0
MiniMayo|Physician|C0003615|C0029456|1.0
MiniMayo|Physician|C0034887|C0003483|1.0
MiniMayo|Physician|C0043352|C0023891|1.0
MiniMayo|Physician|C0030920|C0027092|1.0
MiniMayo|Physician|C0042345|C0224701|1.0

