base|avaliacao|c1|c2|res_in
UMNSRS|Relatedness|C0006949|C0031507|564.5
UMNSRS|Relatedness|C0878544|C0000970|374
UMNSRS|Relatedness|C0009186|C0019655|958
UMNSRS|Relatedness|C0023413|C0025677|891
UMNSRS|Relatedness|C0002962|C0070166|988.25
UMNSRS|Relatedness|C0242339|C0004153|984
UMNSRS|Relatedness|C0035435|C0920289|636.5
UMNSRS|Relatedness|C0009090|C0233576|451
UMNSRS|Relatedness|C0027497|C0027498|1080.5
UMNSRS|Relatedness|C0021641|C0017687|921
UMNSRS|Relatedness|C2004489|C0081876|990.5
UMNSRS|Relatedness|C0086543|C0014544|267.75
UMNSRS|Relatedness|C0033860|C0025287|364
UMNSRS|Relatedness|C0033860|C0003864|921
UMNSRS|Relatedness|C0043031|C0042878|1085
UMNSRS|Relatedness|C0014038|C0025287|956.5
UMNSRS|Relatedness|C0015300|C0020550|1100.25
UMNSRS|Relatedness|C0032285|C0007561|1047.5
UMNSRS|Relatedness|C0114873|C0076107|747.25
UMNSRS|Relatedness|C0002871|C0206160|999.25
UMNSRS|Relatedness|C0242339|C0016157|1091.25
UMNSRS|Relatedness|C0684275|C0019079|647.75
UMNSRS|Relatedness|C0017887|C0026549|868
UMNSRS|Relatedness|C0232197|C0002962|934.75
UMNSRS|Relatedness|C0007557|C0007561|981.25
UMNSRS|Relatedness|C0030232|C0004057|753.75
UMNSRS|Relatedness|C0013456|C0233212|187.75
UMNSRS|Relatedness|C0878544|C0026196|266.5
UMNSRS|Relatedness|C0002600|C0016365|583
UMNSRS|Relatedness|C0242339|C0008402|942.75
UMNSRS|Relatedness|C0034494|C0702166|335
UMNSRS|Relatedness|C0001975|C0012772|1063.75
UMNSRS|Relatedness|C0009214|C0027358|931.5
UMNSRS|Relatedness|C0043031|C0004057|992
UMNSRS|Relatedness|C0042313|C0017642|646.75
UMNSRS|Relatedness|C0854467|C0008168|1023.25
UMNSRS|Relatedness|C0001824|C0023530|914
UMNSRS|Relatedness|C0020517|C0019134|818.5
UMNSRS|Relatedness|C0002940|C0029456|204
UMNSRS|Relatedness|C0036396|C0246719|409
UMNSRS|Relatedness|C0232197|C0087086|960
UMNSRS|Relatedness|C0014038|C0025289|1014.75
UMNSRS|Relatedness|C0001924|C0019134|899.5
UMNSRS|Relatedness|C0033860|C0054836|294
UMNSRS|Relatedness|C0019112|C0021359|201.25
UMNSRS|Relatedness|C0032285|C0036690|1002.5
UMNSRS|Relatedness|C0015300|C0019214|447.75
UMNSRS|Relatedness|C0040165|C0023660|286.75
UMNSRS|Relatedness|C0032285|C0013404|1064.5
UMNSRS|Relatedness|C0741439|C0025287|827.25
UMNSRS|Relatedness|C0017601|C0232197|351.25
UMNSRS|Relatedness|C0036494|C0007297|912.5
UMNSRS|Relatedness|C0398623|C0040038|813.75
UMNSRS|Relatedness|C0018021|C0020740|341.25
UMNSRS|Relatedness|C0684275|C0017642|335.25
UMNSRS|Relatedness|C0013428|C0070166|350.75
UMNSRS|Relatedness|C0231236|C0042755|332.5
UMNSRS|Relatedness|C0009262|C0032950|591
UMNSRS|Relatedness|C0019270|C0006982|286
UMNSRS|Relatedness|C1257763|C0036572|291.25
UMNSRS|Relatedness|C0086543|C0030305|298.75
UMNSRS|Relatedness|C0001962|C0001975|1137.25
UMNSRS|Relatedness|C0020550|C0036572|795.5
UMNSRS|Relatedness|C0021359|C0079083|949.75
UMNSRS|Relatedness|C0019655|C0032950|624.75
UMNSRS|Relatedness|C0026946|C0286651|403.5
UMNSRS|Relatedness|C0877781|C0018681|891.75
UMNSRS|Relatedness|C0920289|C0015672|1060
UMNSRS|Relatedness|C0003129|C0036572|974.75
UMNSRS|Relatedness|C0242339|C0060277|323
UMNSRS|Relatedness|C0002962|C0028351|389
UMNSRS|Relatedness|C0010592|C0032950|413.5
UMNSRS|Relatedness|C0037763|C0036396|887.5
UMNSRS|Relatedness|C0006277|C0298130|632
UMNSRS|Relatedness|C0286651|C0024027|983
UMNSRS|Relatedness|C0037763|C0016860|266.75
UMNSRS|Relatedness|C0011603|C0020517|962.5
UMNSRS|Relatedness|C0003850|C0022116|1082.5
UMNSRS|Relatedness|C0018995|C0032617|358.25
UMNSRS|Relatedness|C0025587|C0040460|685.25
UMNSRS|Relatedness|C0011175|C0038187|849.25
UMNSRS|Relatedness|C0009319|C0014544|274
UMNSRS|Relatedness|C0162275|C0038187|1051.25
UMNSRS|Relatedness|C0054836|C0717550|531.75
UMNSRS|Relatedness|C0039730|C0019045|1016
UMNSRS|Relatedness|C0026946|C0025289|626.5
UMNSRS|Relatedness|C0030232|C0060277|1034.75
UMNSRS|Relatedness|C0018834|C0020740|996.5
UMNSRS|Relatedness|C0007559|C0007561|984.75
UMNSRS|Relatedness|C0030193|C0026549|1108.25
UMNSRS|Relatedness|C0001824|C0854467|1060.5
UMNSRS|Relatedness|C0042384|C0018991|565.5
