base|avaliacao|c1|c2|res_in
UMNSRS|Similarity|C0017601|C0232197|279
UMNSRS|Similarity|C0006949|C0031507|370.5
UMNSRS|Similarity|C0878544|C0000970|241
UMNSRS|Similarity|C0019340|C0020550|142.5
UMNSRS|Similarity|C0009186|C0019655|981.25
UMNSRS|Similarity|C0002962|C0070166|673.75
UMNSRS|Similarity|C0061851|C0022046|294.25
UMNSRS|Similarity|C0036572|C0021641|332.75
UMNSRS|Similarity|C0036690|C0013404|434.5
UMNSRS|Similarity|C0028738|C0021167|365.75
UMNSRS|Similarity|C0032064|C0008402|255.25
UMNSRS|Similarity|C0027497|C0027498|1039.25
UMNSRS|Similarity|C0162275|C0159075|334.5
UMNSRS|Similarity|C0242723|C0024530|1239.25
UMNSRS|Similarity|C0033687|C0011847|1047
UMNSRS|Similarity|C0017160|C0086073|391
UMNSRS|Similarity|C0020639|C0020175|519.75
UMNSRS|Similarity|C0213771|C0073992|1118.5
UMNSRS|Similarity|C0162275|C0016410|383
UMNSRS|Similarity|C0086543|C0043144|217.25
UMNSRS|Similarity|C0011847|C0033860|412
UMNSRS|Similarity|C0948786|C0030232|1180.75
UMNSRS|Similarity|C0031763|C0003564|284.25
UMNSRS|Similarity|C0032617|C0159075|189.5
UMNSRS|Similarity|C0033860|C0025287|222.25
UMNSRS|Similarity|C0009421|C0019158|565
UMNSRS|Similarity|C0442874|C0025598|487.75
UMNSRS|Similarity|C0033860|C0003864|1148.75
UMNSRS|Similarity|C0041296|C0149651|631.25
UMNSRS|Similarity|C0028754|C0011847|1142.25
UMNSRS|Similarity|C0040038|C0019079|852
UMNSRS|Similarity|C0114873|C0076107|716.25
UMNSRS|Similarity|C0086543|C0025598|272.75
UMNSRS|Similarity|C1623038|C0301532|523
UMNSRS|Similarity|C0086543|C0021641|391
UMNSRS|Similarity|C0002871|C0206160|897
UMNSRS|Similarity|C0036572|C0031507|1001.75
UMNSRS|Similarity|C0885057|C0016157|933.75
UMNSRS|Similarity|C0007557|C0007561|1154.5
UMNSRS|Similarity|C0011053|C0004134|582.75
UMNSRS|Similarity|C0220892|C0007546|1078.75
UMNSRS|Similarity|C0018995|C0003126|382
UMNSRS|Similarity|C0022116|C0152149|398
UMNSRS|Similarity|C0030232|C0004057|406.75
UMNSRS|Similarity|C0013456|C0233212|367.75
UMNSRS|Similarity|C0019340|C0008370|475.25
UMNSRS|Similarity|C0242339|C0008402|889.5
UMNSRS|Similarity|C0034494|C0702166|256.25
UMNSRS|Similarity|C0159075|C0232955|239
UMNSRS|Similarity|C0009214|C0027358|578.5
UMNSRS|Similarity|C0043031|C0004057|1019.75
UMNSRS|Similarity|C0042313|C0017642|829.25
UMNSRS|Similarity|C0030232|C0043031|638.25
UMNSRS|Similarity|C0002940|C0029456|231.25
UMNSRS|Similarity|C0016204|C0017687|727.5
UMNSRS|Similarity|C0007546|C0007716|1323
UMNSRS|Similarity|C0029456|C0087086|240.75
UMNSRS|Similarity|C0014038|C0025289|1037.75
UMNSRS|Similarity|C0684275|C0040038|450
UMNSRS|Similarity|C0003864|C0003862|1091
UMNSRS|Similarity|C0152447|C0040822|342.5
UMNSRS|Similarity|C0001924|C0019134|377.5
UMNSRS|Similarity|C0033860|C0054836|194.75
UMNSRS|Similarity|C0019112|C0021359|191.25
UMNSRS|Similarity|C0014544|C0031412|940.75
UMNSRS|Similarity|C0033860|C0037763|221.25
UMNSRS|Similarity|C0037384|C0023992|242
UMNSRS|Similarity|C0854467|C0037384|358
UMNSRS|Similarity|C0032285|C0036690|959.25
UMNSRS|Similarity|C0019270|C0497327|237.75
UMNSRS|Similarity|C0018926|C0027498|1012.25
UMNSRS|Similarity|C0003862|C0030193|1206.25
UMNSRS|Similarity|C0040165|C0023660|270.25
UMNSRS|Similarity|C0017601|C0232197|276
UMNSRS|Similarity|C0003862|C0149651|317.5
UMNSRS|Similarity|C0684275|C0017642|169
UMNSRS|Similarity|C0013428|C0070166|212.5
UMNSRS|Similarity|C0231236|C0042755|294.5
UMNSRS|Similarity|C0002940|C0947651|340.5
UMNSRS|Similarity|C0009262|C0032950|851.25
UMNSRS|Similarity|C0019270|C0006982|418
UMNSRS|Similarity|C1257763|C0036572|396.5
UMNSRS|Similarity|C0086543|C0030305|307.5
UMNSRS|Similarity|C0001962|C0001975|1265.5
UMNSRS|Similarity|C0116569|C0002598|1058.75
UMNSRS|Similarity|C0030305|C0021641|749.5
UMNSRS|Similarity|C0017160|C0021641|351.75
UMNSRS|Similarity|C0023530|C0007537|343
UMNSRS|Similarity|C0019655|C0032950|290
UMNSRS|Similarity|C0442874|C0009806|477.25
UMNSRS|Similarity|C0149651|C0013404|930.75
UMNSRS|Similarity|C0026946|C0286651|300.5
UMNSRS|Similarity|C0877781|C0018681|748.75
UMNSRS|Similarity|C0023992|C0005632|767
UMNSRS|Similarity|C0920289|C0015672|1186.5
UMNSRS|Similarity|C0036494|C0001962|646
UMNSRS|Similarity|C0242339|C0060277|239
UMNSRS|Similarity|C0039730|C0040822|231.5
UMNSRS|Similarity|C0003128|C0152149|558.25
